show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
True Story,TV (English),tt14494902,tvSeries,True Story,True Story,0,2021,\N,13,"Drama,Short",8.6,19,nm6678217,Matthew Law
Hellbound,TV (Non-English),tt15808296,short,Hellbound,Hellbound,0,2022,\N,\N,"Horror,Short",,,nm13078377,David Watkins
School of Chocolate,TV (English),tt15172154,tvSeries,School of Chocolate,School of Chocolate,0,2021,2021,\N,"Game-Show,Reality-TV",7.6,2283,nm3510832,Tom Djokaj
Cowboy Bebop,TV (English),tt1267295,tvSeries,Cowboy Bebop,Cowboy Bebop,0,2021,2021,58,"Action,Adventure,Comedy",6.7,42597,"nm3421685,nm0003150","Michael Katleman, Alex Garcia Lopez"
Elves,TV (Non-English),tt27614477,tvEpisode,Elves,Elves,0,2021,\N,\N,"Comedy,Talk-Show",,,\N,
Narcos: Mexico,TV (English),tt8714904,tvSeries,Narcos: Mexico,Narcos: México,0,2018,2021,50,"Crime,Drama",8.4,90195,"nm1223381,nm1661334,nm2091911,nm2129610,nm1888700,nm0609944,nm2004888,nm1166781","Wagner Moura, Luis Ortega, Andrés Baiz, Amat Escalante, Marcela Said, Alejandra Márquez Abella, Alonso Ruizpalacios, Josef Kubota Wladyka"
Tiger King,TV (English),tt11823076,tvSeries,Tiger King,"Tiger King: Murder, Mayhem and Madness",0,2020,2021,45,"Biography,Crime,Documentary",7.5,85018,"nm0149686,nm5412043","Rebecca Chaiklin, Eric Goode"
Christmas Flow,TV (Non-English),tt15340790,tvSeries,Christmas Flow,Christmas Flow,0,2021,2021,50,"Comedy,Music,Romance",6,876,nm5490994,Nadège Loiseau
Love Never Lies,TV (Non-English),tt14540924,tvSeries,Love Never Lies,Amor con fianza,0,2021,2021,50,Reality-TV,5.6,404,\N,
My Name,TV (Non-English),tt19264904,tvEpisode,My Name,My Name,0,2022,\N,\N,"Action,Animation,Mystery",9.3,98,\N,
The Five Juanas,TV (Non-English),tt15377930,tvSeries,The Five Juanas,La Venganza de las Juanas,0,2021,\N,\N,"Crime,Drama,Horror",6.9,2116,"nm2904941,nm5460485,nm6322835","Pepe Castro, Rod Ugalde De Haene, Carlos Cock"
The Club,TV (Non-English),tt27547266,tvEpisode,The Club,The Club,0,2023,\N,24,Drama,,,nm2816497,Susanne Thorson
Maya and the Three,TV (English),tt8787772,tvMiniSeries,Maya and the Three,Maya and the Three,0,2021,2021,30,"Action,Adventure,Animation",8.1,4765,nm1509613,Jorge R. Gutiérrez
Inside Job,TV (English),tt26446868,tvEpisode,Inside Job,Inside Job,0,2023,\N,25,"Action,Adventure,Drama",,,"nm2085734,nm1364603,nm1387873","Avel Sunpongco, Darnel Villaflor, Benedict Mique"
The Chestnut Man,TV (Non-English),tt10834220,tvSeries,The Chestnut Man,The Chestnut Man,0,2021,\N,50,"Crime,Drama,Mystery",7.7,51581,"nm0054504,nm1400437","Kasper Barfoed, Mikkel Serup"
Sex Education,TV (English),tt11483716,tvEpisode,Sex Education,Sex Education,0,2019,\N,\N,Comedy,,,nm8555597,Blake Skuse
Another Life,TV (English),tt22172034,tvEpisode,Another Life,Another Life,0,2023,\N,61,"Crime,Drama",7.7,45,nm0418982,Julian Jarrold
Midnight Mass,TV (English),tt15473632,tvEpisode,Midnight Mass,Midnight Mass,0,2021,\N,\N,Talk-Show,7.1,41,\N,
